cz_name,cz_dates,viaf_id,nkc_id,birth,death,debut,firsttrans,langdict
"Adla, Zdeněk",1910-1990,62979248,jk01010115,1910,1990,1949,,
"Adlová, Věra",1919-1999,59498818,jk01010127,1919,1999,1946,,
"Ajvaz, Michal",1949-,27241264,jn19990000066,1949,,1989,,
"Alda, Jan",1901-1970,21924051,jk01010172,1901,1970,1926,,
"Altrichter, Michal",1965-,119368461,mzk2002102682,1965,,1993,,
"Andrejs, Jaroslav",1908-2002,25705915,jk01010278,1908,2002,1943,,
"Andronikova, Hana",1967-2011,24539139,ja20020079780,1967,2011,2001,,
"Arbes, Jakub",1840-1914,54185097,jk01010356,1840,1914,1870,,
"Aškenazy, Ludvík",1921-1986,59118946,jk01010398,1921,1986,1948,,
"Augusta, Josef",1903-1968,125283,jk01010421,1903,1968,1926,,
"Baar, Jindřich Šimon",1869-1925,54946709,jk01010468,1869,1925,1900,,
"Babula, Vladimír",1919-1966,83657937,jk01010510,1919,1966,1947,,
"Bajaja, Antonín",1942-,44717699,jk01010566,1942,,1982,,
"Balabán, Jan",1961-2010,58423267,jn19990202001,1961,2010,1995,,
"Balajka, Bohumil",1923-1994,24473200,jk01010605,1923,1994,1947,,
"Baňková, Markéta",1969-,96634007,mzk2002148271,1969,,2010,,
"Bart, Ilja",1910-1973,44715459,jk01010787,1910,1973,1933,,
"Bass, Eduard",1888-1946,41966931,jk01011066,1888,1946,1911,,
"Batlička, Otakar",1895-1942,37960245,jk01011126,1895,1942,1940,,
"Baudiš, Josef",1883-1933,68160319,jk01011136,1883,1933,1910,,
"Bednář, Kamil",1912-1972,47553268,jk01011314,1912,1972,1937,,
"Běhounek, František",1898-1973,51817132,jk01011367,1898,1973,1923,,
"Bellová, Bianca",1970-,85884130,xx0087781,1970,,2009,,
"Bělohradská, Hana",1929-2005,66648673,jk01011467,1929,2005,1962,,
"Bendová, Veronika",1974-,294833028,xx0164195,1974,,2012,,
"Beneš Třebízský, Václav",1849-1884,20750609,jk01011653,1849,1884,1873,,
"Beneš, Jan",1936-2007,97666935,jk01011587,1936,2007,1963,,
"Beneš, Karel Josef",1896-1969,37071193,jk01011622,1896,1969,1920,,
"Benešová, Božena",1873-1936,30330541,jk01011657,1873,1936,1909,,
"Bergrová, Zdenka",1923-2008,72509264,jk01011819,1923,2008,1946,,
"Berková, Alexandra",1949-2008,53328719,jk01011850,1949,2008,1986,,
"Bernardinová, Eva",1931-2016,119485206,jk01011882,1931,2016,1969,,
"Bernášková, Alena",1920-2007,83666958,jk01011891,1920,2007,1947,,
"Bezděčka, Pavel",1952-,306140572,jn20001103707,1952,,1997,,
"Bezděková, Zdeňka",1907-1999,47603170,jk01011964,1907,1999,1947,,
"Bezruč, Petr",1867-1958,7410342,jk01011993,1867,1958,1899,,
"Biebl, Konstantin",1898-1951,44433260,jk01012026,1898,1951,1924,,
"Biman, Stanislav",1938-,64418022,jk01012117,1938,,1976,,
"Binar, Ivan",1942-,64564205,jk01012120,1942,,1969,,
"Binar, Vladimír",1941-2016,15030269,jk01012122,1941,2016,1980,,
"Blatný, Ivan",1919-1990,39410335,jk01012262,1919,1990,1940,,
"Blažek, Vratislav",1925-1973,42729194,jk01012333,1925,1973,1958,,
"Bobek, Miroslav",1967-,84004637,jn20000400204,1967,,1997,,
"Boček, Evžen",1966-,260672246,jo2012711669,1966,,2000,,
"Boček, Jaroslav",1932-2003,27231371,jk01012421,1932,2003,1959,,
"Böhnel, Miroslav Bedřich",1886-1962,32742733,jk01012537,1886,1962,1908,,
"Bolavá, Anna",1981-,297997801,xx0166464,1981,,2013,,
"Bondy, Egon",1930-2007,2539712,jk01012610,1930,2007,1974,,
"Bor, Josef",1906-1979,14898299,jk01012626,1906,1979,1961,,
"Bořkovcová, Hana",1927-2009,83672530,jk01012732,1927,2009,1971,,
"Borkovec, Petr",1970-,49479767,jn19990218007,1970,,1990,,
"Borovička, Václav Pavel",1920-2004,18070505,jk01012684,1920,2004,1959,,
"Borská, Ilona",1928-2007,39912885,jk01012697,1928,2007,1956,,
"Bouček, Josef",1932-1995,83672936,jk01012782,1932,1995,1966,,
"Boučková, Tereza",1957-,32415814,jn19990209069,1957,,1992,,
"Brabcová, Zuzana",1959-,19860811,jn19990209070,1959,,1991,,
"Brabenec, Jiří",1911-1983,91704341,jk01012908,1911,1983,1943,,
"Brabenec, Vratislav",1943-,22020539,jn20010309458,1943,,1992,,
"Branald, Adolf",1910-2008,7403751,jk01012955,1910,2008,1934,,
"Braunová, Helena",1944-,32856264,xx0004744,1944,,1992,,
"Braunová, Petra",1967-,85389344,xx0013872,1967,,2003,,
"Brdečka, Jiří",1917-1982,7672064,jk01013050,1917,1982,1946,,
"Březina, Otokar",1868-1929,44341760,jk01020045,1868,1929,1895,,
"Březinová, Ivona",1964-,59391778,jn19990218010,1964,,1996,,
"Březovský, Bohuslav",1912-1976,8373588,jk01020054,1912,1976,1940,,
"Brikcius, Eugen",1942-,34751496,jn19990218008,1942,,1991,,
"Brož, Ivan",1938-2012,44689786,jk01013200,1938,2012,1972,,
"Brožová, Zdena",1946-,34371528,xx0000564,1946,,1990,,
"Brůhová, Milena",1931-2014,20307538,jk01013301,1931,2014,1973,,
"Brukner, Josef",1932-2015,12459159,jk01013304,1932,2015,1958,,
"Brycz, Pavel",1968-,43957918,jn20000400291,1968,,1993,,
"Bublík, Ladislav",1924-1988,83677471,jk01020097,1924,1988,1949,,
"Budinský, Václav",1948-,274301701,xx0008777,1948,,1979,,
"Burian, Emil František",1904-1959,100987352,jk01020348,1904,1959,1926,,
"Burian, Václav",1959-2014,17379276,jn20000400319,1959,2014,1993,,
"Čapek Chod, Karel Matěj",1860-1927,54187784,jk01021050,1860,1927,1892,,
"Čapek, Josef",1887-1945,29531402,jk01021020,1887,1945,1916,,
"Čapek, Karel",1890-1938,34454129,jk01021023,1890,1938,1917,,
"Čarek, Jan",1898-1966,536307,jk01021064,1898,1966,1920,,
"Čech, Pavel",1968-,46933309,jn20010309243,1968,,1998,,
"Čech, Svatopluk",1846-1908,47560290,jk01021137,1846,1908,1871,,
"Čechova, Dora",1971-,221497230,jo2012678362,1971,,2012,,
"Čechura, Rudolf",1931-2014,78359045,jk01021177,1931,2014,1969,,
"Čejka, Jaroslav",1943-,8690884,jk01021190,1943,,1968,,
"Čelakovský, František Ladislav",1799-1852,44312086,jk01021208,1799,1852,1822,,
"Čep, Jan",1902-1974,44339596,jk01021241,1902,1974,1926,,
"Čermák, Miloš",1968-,46915219,jn19981002583,1968,,1991,,
"Černá, Jana",1928-1981,59105176,jk01021384,1928,1981,1963,,
"Černá, Olga",1964-,306140991,js20020617021,1964,,2004,,
"Černický, Jiří",1966-,80991098,jn19990209120,1966,,1996,,
"Černík, Michal",1943-,65400419,jk01021422,1943,,1971,,
"Černík, Zbyněk",1951-,272741589,jk01021429,1951,,2008,,
"Černý, Adolf",1864-1952,68921082,jk01102633,1864,1952,1890,,
"Černý, Karel",1913-1985,306138063,jk01021589,1913,1985,1946,,
"Červenková, Jana",1939-,10257468,jk01021693,1939,,1963,,
"Červinková-Riegrová, Marie",1854-1895,72379825,jk01021755,1854,1895,1879,,
"Chlíbec, Bohdan",1963-,9065940,jn19990202002,1963,,1992,,
"Chocholoušek, Prokop",1819-1864,57514269,jk01050304,1819,1864,1843,,
"Chudožilov, Petr",1943-,188853935,jk01050390,1943,,1969,,
"Chvojková, Helena",1914-1988,7805171,jk01050449,1914,1988,1941,,
"Cimický, Jan",1948-,7449364,jk01020718,1948,,1976,,
"Cirkl, Jiří",1920-1996,62856517,jk01020753,1920,1996,1948,,
"Čivrný, Lumír",1915-2001,35347438,jk01021853,1915,2001,1938,,
"Cmíral, Pavel",1945-,76063906,jk01020791,1945,,1977,,
"Čtvrtek, Václav",1911-1976,41873407,jk01021929,1911,1976,1947,,
"Čunderle, Michal",1971-,68319022,jo20010094126,1971,,2001,,
"Čvančara, Karel",1882-1970,83690260,jk01021975,1882,1970,1906,,
"Dachovský, Karel",1949-,68800446,jn20000810197,1949,,1990,,
"Daněk Hnát, Jiří",1959-,96637997,jn19981001462,1959,,1995,,
"Daněk, Oldřich",1927-2000,97758196,jk01022017,1927,2000,1954,,
"Daněk, Václav",1929-,25012096,jk01022023,1929,,1959,,
"Dědková, Jarmila",1952-,83691388,jk01022157,1952,,1975,,
"Deml, Jakub",1878-1961,46772698,jk01022199,1878,1961,1900,,
"Denemarková, Radka",1968-,4268266,xx0002871,1968,,1998,,
"Děžinský, Milan",1974-,84001605,jn19990216044,1974,,1996,,
"Dietl, Jaroslav",1929-1985,71995730,jk01022264,1929,1985,1958,,
"Diviš, Ivan",1924-1999,44355999,jk01022321,1924,1999,1946,,
"Doležal, Miloš",1970-,34359804,jn19990218015,1970,,1995,,
"Dorovský, Ivan",1935-,54167812,jk01022745,1935,,1974,,
"Doskočilová, Hana",1936-,118529174,jk01022763,1936,,1961,,
"Dousková, Irena",1964-,28217678,jn19990216043,1964,,1997,,
"Drábek, David",1970-,12253690,xx0001586,1970,,2002,,
"Drda, Jan",1915-1970,163185334,jk01023037,1915,1970,1939,,
"Drijverová, Martina",1951-,71536031,jk01023067,1951,,1979,,
"Drvota, Mojmír",1923-2006,67760042,ola200207993,1923,2006,1994,,
"Dub, Ota",1909-1987,21046932,jk01023161,1909,1987,1931,,
"Durdíková, Lída",1899-1955,69419814,jk01023348,1899,1955,1921,,
"Durych, Jaroslav",1886-1962,66496121,jk01023358,1886,1962,1915,,
"Dušková, Danielle",1943-,21044693,jk01023432,1943,,1962,,
"Dutka, Edgar",1941-,72461584,jk01023445,1941,,1979,,
"Dvořáčková, Vlasta",1924-2018,26720682,jk01030050,1924,2018,1957,,
"Dvořák, Josef",1942-,79462268,jk01030146,1942,,1967,,
"Dvořák, Ladislav",1920-1983,292812511,jk01030164,1920,1983,1958,,
"Dvořáková, Petra",1977-,46525373,xx0044613,1977,,2006,,
"Dyk, Viktor",1877-1931,32074913,jk01030247,1877,1931,1897,,
"Effenberger, Vratislav",1923-1986,15186733,jk01030310,1923,1986,1963,,
"Erben, Karel Jaromír",1811-1870,54147355,jk01030532,1811,1870,1853,,
"Erben, Václav",1930-2003,46780209,jk01030537,1930,2003,1961,,
"Fábera, Miloslav",1912-1988,67089033,jk01030612,1912,1988,1940,,
"Fahrner, Martin",1964-,57743203,jo20010094189,1964,,1993,,
"Fiker, Eduard",1902-1961,25066380,jk01031116,1902,1961,1933,,
"Filip, Dominik",1879-1946,304648301,jk01031142,1879,1946,1906,,
"Filip, Jan",1911-1971,1980472,jk01031154,1911,1971,1928,,
"Filip, Ota",1930-2018,95178340,jk01031164,1930,2018,1968,,
"Fischerová, Daniela",1948-,32034790,jk01031301,1948,,1973,,
"Fischerová, Sylva",1963-,15182636,jn19981001161,1963,,1986,,
"Fischerová, Viola",1935-2010,61721095,jk01031308,1935,2010,1993,,
"Fischl, Viktor",1912-2006,93611328,jo19990047113,1912,2006,1933,,
"Florian, Miroslav",1931-1996,18016304,jk01031461,1931,1996,1948,,
"Foglar, Jaroslav",1907-1999,32799051,jk01031485,1907,1999,1934,,
"Formánek, Jaroslav",1960-,18454426,jn20000620077,1960,,1999,,
"Formánek, Josef",1969-,90554122,xx0014575,1969,,2003,,
"Frais, Josef",1946-2013,15182712,jk01031667,1946,2013,1978,,
"Francouz, Pavel",1932-1995,83711185,jk01031700,1932,1995,1974,,
"Franková, Hermína",1928-,15820229,jk01031754,1928,,1961,,
"Freiová, Ludmila",1926-2014,29101883,jk01031802,1926,2014,1960,,
"Frič, Alberto Vojtěch",1882-1944,74913006,jk01031861,1882,1944,1918,,
"Fridrich, Radek",1968-,52888219,jn99240000215,1968,,1996,,
"Fried, Jiří",1923-1999,14898460,jk01031928,1923,1999,1954,,
"Frýbová, Zdena",1934-2010,17299106,jk01032058,1934,2010,1963,,
"Frýd, Norbert",1913-1976,10757363,jk01032074,1913,1976,1945,,
"Frýda, František",1914-1999,234471922,jk01032076,1914,1999,1959,,
"Fuchsová, Irena",1950-,2168549,jo2002100653,1950,,2001,,
"Fučík, Julius",1903-1943,27873545,jk01032106,1903,1943,1931,,
"Fučíková, Renata",1964-,41971987,jn20001005412,1964,,1990,,
"Fuks, Ladislav",1923-1994,22183852,jk01032159,1923,1994,1958,,
"Galský, Desider",1921-1990,83714941,jk01032301,1921,1990,1958,,
"Gariš, Ivan",1923-1996,2025022,jk01032326,1923,1996,1973,,
"Gel, František",1901-1972,22609156,jk01032388,1901,1972,1931,,
"Georgiev, Adam",1980-,14391572,jn19990002620,1980,,1997,,
"Glazarová, Jarmila",1901-1977,24677185,jk01032464,1901,1977,1936,,
"Glocar, Emilián",1906-1985,1202866,jk01032470,1906,1985,1931,,
"Grmela, Jan",1895-1957,60076086,jk01032684,1895,1957,1921,,
"Grögerová, Bohumila",1921-2014,96640269,jk01032701,1921,2014,1991,,
"Gruša, Jiří",1938-2011,34457607,jk01032800,1938,2011,1962,,
"Hadrbolcová, Zdenka",1937-,161435478,jk01032978,1937,,1976,,
"Hájíček, Jiří",1967-,16865903,jn20000401144,1967,,1998,,
"Hájková, Pavla",1961-,71178388,xx0001536,1961,,2001,,
"Hakl, Emil",1958-,78715543,jn20000400849,1958,,1991,,
"Halas, František",1901-1949,27099101,jk01033200,1901,1949,1927,,
"Hálek, Vítězslav",1835-1874,59878610,jk01033219,1835,1874,1858,,
"Halmay, Petr",1958-,70598730,jn20000400860,1958,,1991,,
"Hanka, Václav",1791-1861,67260492,jk01033420,1791,1861,1815,,
"Hanuš, Miroslav",1907-1995,68154361,jk01033490,1907,1995,1940,,
"Hanzelka, Jiří",1920-2003,71466298,jk01033530,1920,2003,1952,,
"Harníček, Martin",1952-,69662605,jn20000710047,1952,,1991,,
"Hartl, Pavel",1934-,65745071,jn20000400895,1934,,1984,,
"Hašek, Jaroslav",1883-1923,4931097,jk01040097,1883,1923,1912,,
"Hásek, Jindřich",1947-2007,88374485,jk01040078,1947,2007,1985,,
"Havel, Václav",1936-2011,109312616,jk01040240,1936,2011,1963,,
"Havlasa, Jan",1883-1964,2143581,jk01040303,1883,1964,1902,,
"Havlíček Borovský, Karel",1821-1856,2504978,jk01040361,1821,1856,1843,,
"Havlíček, Jaroslav",1896-1943,33133124,jk01040338,1896,1943,1929,,
"Hejcman, Pavel",1927-,93702381,jk01040529,1927,,1959,,
"Hejda, Zbyněk",1930-2013,2503859,jk01040549,1930,2013,1964,,
"Hejkalová, Markéta",1960-,31370592,jn20010309322,1960,,1994,,
"Hejl, Vilém",1934-1989,7427398,jk01040563,1934,1989,1965,,
"Hejná, Olga",1928-2017,91709369,jk01040577,1928,2017,1962,,
"Henryková, Jitka",1921-,28890820,jk01040749,1921,,1965,,
"Henzl, Vladimír",1910-1978,34113733,jk01040751,1910,1978,1962,,
"Herben, Jan",1857-1936,71444288,jk01040780,1857,1936,1880,,
"Hercíková, Iva",1935-2007,76850786,jk01040797,1935,2007,1962,,
"Herold, Eduard",1820-1895,24444084,jk01040860,1820,1895,1861,,
"Heroldová-Šťovíčková, Dana",1929-1976,56661322,jk01131512,1929,1976,1964,,
"Herrmann, Ignát",1854-1935,56652118,jk01040882,1854,1935,1880,,
"Heteša, Petr",1959-,84927758,ola200205577,1959,,2007,,
"Hilarová, Dagmar",1928-1996,296254822,jk01041034,1928,1996,1975,,
"Hiršal, Josef",1920-2003,36969452,jk01041094,1920,2003,1940,,
"Hladík, Václav",1868-1913,83730493,jk01041120,1868,1913,1892,,
"Hodrová, Daniela",1946-,119375397,jk01041474,1946,,1986,,
"Hoffmeister, Adolf",1902-1973,113491422,jk01041528,1902,1973,1922,,
"Hofman, Ota",1928-1989,116155073,jk01041559,1928,1989,1961,,
"Hokeš, Tomáš",1968-,19635776,xx0024373,1968,,2004,,
"Holan, Emil",1905-1944,83734076,jk01041649,1905,1944,1934,,
"Holan, Vladimír",1905-1980,12227,jk01041653,1905,1980,1926,,
"Holeček, Josef",1853-1929,77172071,jk01041699,1853,1929,1876,,
"Holoubek, Jaroslav",1946-2016,65319355,jk01041772,1946,2016,1977,,
"Holub, Miroslav",1923-1998,71459062,jk01041818,1923,1998,1958,,
"Holubová, Miloslava",1913-2001,30393561,jk01041843,1913,2001,1961,,
"Holý, Kamil",1873-1952,60122982,jk01041858,1873,1952,1920,,
"Hons, Václav",1938-,70058195,jk01041939,1938,,1962,,
"Honzák, František",1949-,61597334,jn19990209256,1949,,1991,,
"Hora, Josef",1891-1945,29547209,jk01041989,1891,1945,1915,,
"Hořec, Jaromír",1921-2009,59129952,jk01042314,1921,2009,1946,,
"Horelová, Eliška",1925-2015,51289148,jk01042181,1925,2015,1956,,
"Horníček, Miroslav",1918-2003,32806042,jk01042235,1918,2003,1966,,
"Horváthová, Tereza",1973-,85506822,xx0033460,1973,,2004,,
"Hostovský, Egon",1908-1973,99900698,jk01042403,1908,1973,1926,,
"Houba, Karel",1920-1999,15179219,jk01042439,1920,1999,1958,,
"Hrabal, Bohumil",1914-1997,34458072,jk01042564,1914,1997,1956,,
"Hrabal, Milan",1954-,25012199,jk01042572,1954,,1981,,
"Hrnčíř, Svatopluk",1926-2014,232397903,jk01042788,1926,2014,1959,,
"Hroch, Karel",1906-1982,83741830,jk01042806,1906,1982,1936,,
"Hromádka, Miloš",1964-,84071414,jn20010310118,1964,,1996,,
"Hrubín, František",1910-1971,24614627,jk01042920,1910,1971,1933,,
"Hrubý, Josef",1932-2017,47551883,jk01042960,1932,2017,1960,,
"Hruška, Petr",1964-,4870437,jn19990209272,1964,,1994,,
"Hrušková, Marie",1939-,8940117,jn20000401097,1939,,1983,,
"Hudečková, Eva",1949-,70961684,jn19990209279,1949,,1992,,
"Hulák, Jaroslav",1920-1999,27099690,jn99240000334,1920,1999,1981,,
"Hůlová, Petra",1979-,59339491,jo2002111362,1979,,2002,,
"Hulpach, Vladimír",1935-,39378678,jn20001103804,1935,,1966,,
"Huňát, Marek",1974-,264386231,jn99240000673,1974,,1995,,
"Ivanov, Miroslav",1929-1999,19691033,jk01050574,1929,1999,1959,,
"Jágr, Miloslav",1927-1997,218750483,jk01050623,1927,1997,1974,,
"Jandourek, Jan",1965-,21366314,jn19990218032,1965,,1991,,
"Janouch, Jaroslav",1903-1970,72365875,jk01051033,1903,1970,1939,,
"Jánský, Filip",1922-1987,47282906,jn99240000399,1922,1987,1964,,
"Jarchovský, Petr",1966-,70158227,jn99240000370,1966,,1993,,
"Javor, Pavel",1916-1981,88045299,jk01130405,1916,1981,0,,
"Jedlička, Josef",1927-1990,39632022,jk01051416,1927,1990,1966,,
"Jelínek, Edvard",1855-1897,56167322,skuk0000637,1855,1897,1881,,
"Jeřábek, Čestmír",1893-1981,32124494,jk01051518,1893,1981,1921,,
"Jezbera, František Jan",1829-1901,83757220,jk01051595,1829,1901,1858,,
"Ježková, Alena",1966-,50396720,xx0002238,1966,,1998,,
"Jiránek, Vladimír",1938-2012,96705622,jk01051812,1938,2012,1977,,
"Jirásek, Alois",1851-1930,34469656,jk01051816,1851,1930,1874,,
"Jirotka, Zdeněk",1911-2003,64074114,jk01051900,1911,2003,1942,,
"Jirous, Ivan Martin",1944-2011,119364641,jn19981001568,1944,2011,1991,,
"John, Jaromír",1882-1952,55776582,jk01052036,1882,1952,1917,,
"John, Radek",1954-,40017300,jk01052046,1954,,1980,,
"Joneš, Alois",1929-,45555886,jk01052087,1929,,1969,,
"Juliš, Emil",1920-2006,14763862,jk01052139,1920,2006,1964,,
"Juráček, Pavel",1935-1989,19949329,jk01052201,1935,1989,2001,,
"Kadlec, Josef",1919-2003,8186560,jk01052433,1919,2003,1951,,
"Kahoun, Jiří",1942-2017,12009224,jk01052537,1942,2017,1984,,
"Kalandra, Čeněk",1848-1928,83764015,jk01052611,1848,1928,1872,,
"Kalčík, Rudolf",1923-1980,15322788,jk01052632,1923,1980,1954,,
"Kaloč, Zdeněk",1938-,83764688,jk01052720,1938,,1978,,
"Kameníček, Jan",1955-,33124758,jo20000075394,1955,,1988,,
"Káňa, Vašek",1905-1985,30008961,jk01052831,1905,1985,1930,,
"Kantůrková, Eva",1930-,66469255,jk01052883,1930,,1966,,
"Kaplický, Václav",1895-1982,61959289,jk01052912,1895,1982,1927,,
"Kaprálová, Dora",1975-,164857285,js20020708009,1975,,2014,,
"Karafiát, Jan",1846-1929,47825424,jk01052941,1846,1929,1876,,
"Karásek ze Lvovic, Jiří",1871-1951,51816056,jk01052982,1871,1951,1893,,
"Karen, Jiří",1920-2000,1184264,jk01053012,1920,2000,1972,,
"Kasal, Lubor",1958-,14337832,jn19990004193,1958,,1989,,
"Keltner, Tomáš",1976-,84760981,mzk2008473162,1976,,2008,,
"Khol, František",1877-1930,13302531,jk01060131,1877,1930,1903,,
"Kincl, Jaromír",1930-,292677970,jn19990209346,1930,,1962,,
"Klevis, Vladimír",1933-1998,42249595,jk01060437,1933,1998,1961,,
"Klevisová, Michaela",1976-,85728382,xx0065727,1976,,2007,,
"Klička, Benjamin",1897-1943,74840804,jk01060454,1897,1943,1921,,
"Klicpera, Václav Kliment",1792-1859,811769,jk01060448,1792,1859,1820,,
"Klíma, Ivan",1931-,32047415,jk01060513,1931,,1960,,
"Klíma, Jan",1938-,37436131,jk01060517,1938,,1966,,
"Klíma, Ladislav",1878-1928,7402259,jk01060531,1878,1928,1901,,
"Klíma, Stanislav",1878-1944,74846193,jk01060540,1878,1944,1899,,
"Kliment, Alexandr",1929-2017,51661848,jk01060558,1929,2017,1960,,
"Klivar, Miroslav",1932-2014,48248046,jk01060635,1932,2014,1956,,
"Klobouk, Jiří",1933-,43241212,jk01060647,1933,,1993,,
"Klostermann, Karel",1848-1923,810251,jk01060677,1848,1923,1892,,
"Knap, Josef",1900-1973,71369239,jk01060764,1900,1973,1920,,
"Knopp, Jiří",1934-,84993600,ola2003193839,1934,,1985,,
"Kočka, Miloš",1910-2010,15179566,jk01061020,1910,2010,1945,,
"Koenigsmark, Alex",1944-2013,263993692,jk01061072,1944,2013,1975,,
"Kohout, Alois",1891-1981,67941908,jk01061112,1891,1981,1930,,
"Kohout, Pavel",1928-,56612039,jk01061137,1928,,1946,,
