cz_name,cz_dates,viaf_id,nkc_id,birth,death,debut,firsttrans,langdict
"Baarová, Lída",1914-2000,30389272,jn19990201010,1914,2000,1991,,
"Opekarová, Aneta",1984-,304253258,ola2013767788,1984,,2014,,
"Patrný, Jan",1877-1929,306138731,jk01091929,1877,1929,1899,,
"Šmejkal, Jaromír Václav",1902-1941,306139031,jk01130524,1902,1941,1920,,
"Toucová, Joža",1878-1960,306139107,jk01132815,1878,1960,1914,,
"Trojanová, Jiřina",1921-,306139113,jk01140199,1921,,1953,,
"Krnínský, Jan Matěj",1968-,306140808,jo2005267834,1968,,2001,,
"Culek, Jaroslav",1926-,306142286,ola200207982,1926,,1963,,
"Brodecká, Lenka",1972-,306142717,xx0015088,1972,,2003,,
"Pánek, Josef",1966-,306299235,jo2014802119,1966,,2013,,
"Hons, Josef",1907-2001,309809082,jk01041936,1907,2001,1940,,
"Frýba, Libor",1958-,309868278,mzk2014830702,1958,,2013,,
S.d.Ch.,1970-,310733775,jo2014836492,1970,,2007,,
Viktorie P.,0-0,310733804,jo2014837679,0,0,2014,,
"Daněk, Karel",1928-,311117342,jk01022013,1928,,1961,,
"Pilařová, Ivana",0-0,311482385,mzk2014843438,0,0,2012,,
"Čumba, Ladislav",1976-,316019812,osa2017943178,1976,,2016,,
"Hájek, Jiří",1919-1994,32407590,jk01033050,1919,1994,1944,,
"Janovic, Vladimír",1935-,32409418,jk01051097,1935,,1968,,
"Tomek, Václav Vladivoj",1818-1905,3247552,jk01132708,1818,1905,1842,,
"Kuťák, Jaroslav",1956-,32902868,jn20000620195,1956,,1992,,
"Fibich, Ondřej",1954-,3306743,jn19981001105,1954,,1990,,
"Ruggiero, Mauro",1979-,33157098518772552323,ola2011618677,1979,,2010,,
"Chaloupek, Václav",1949-,3409309,jn20000710018,1949,,1993,,
"Boušek, Karel",1922-2003,34499082,jk01012828,1922,2003,1940,,
"Vojtěchovská, Kateřina",0-0,34697782,xx0026778,0,0,0,,
"Tille, Václav",1867-1937,35494942,jk01132468,1867,1937,1892,,
"Jesenská, Růžena",1863-1940,35981781,jk01051565,1863,1940,1882,,
"Marek, Josef Jaroslav",0-0,36136199,jx20070730024,0,0,1992,,
"Bartíková, Petra",1984-,36152380037401760664,xx0213734,1984,,2017,,
"Šťastný, Alfons Bohumil",1866-1922,36824138,jk01131099,1866,1922,1890,,
"Mařánek, Jiří",1891-1959,37409049,jk01080431,1891,1959,1924,,
"Karous, Antonín",1946-,37570182,xx0150786,1946,,1987,,
"Havlíček, Zbyněk",1922-1969,37741320,jk01040359,1922,1969,1994,,
"Weinberg, Felix Jiri",1928-2012,37903018,xx0095084,1928,2012,2020,,
"Tichý, Jan",1941-,39015741,xx0024952,1941,,1991,,
"Hořejší, Jindřich",1886-1941,39372176,jk01042329,1886,1941,1921,,
"Gaucheron, Jacques",1920-2009,39377589,xx0115952,1920,2009,0,,
"Beneš, Edvard",1884-1948,39418979,jk01011576,1884,1948,1909,,
"Faktor, Jan",1951-,41967147,jn20020723132,1951,,2015,,
"Haas, Ursula",1943-,41981584,ola2010590899,1943,,0,,
"Ludvík, Emil",1917-2007,42328858,jk01072547,1917,2007,0,,
"Přibský, Vladimír",1932-,42395920,jk01101522,1932,,1960,,
"Kolmačka, Pavel",1962-,42764315,jn19990209373,1962,,1994,,
"Burger, Adolf",1917-2016,42774237,xx0036325,1917,2016,1945,,
"Baluch, Jacek",1940-2019,43186080,jn20011018424,1940,2019,1981,,
"Medek, Ivan",1925-2010,44239735,jk01081023,1925,2010,1968,,
"Kostohryz, Josef",1907-1987,45384528,jk01062013,1907,1987,1934,,
"Hurdová, Veronika",1983-,465160667654403560000,ola2013752827,1983,,2013,,
"Fischer, Otokar",1883-1938,46774067,jk01031286,1883,1938,1908,,
"Harant z Polžic a Bezdružic, Kryštof",1564-1621,46896844,jk01040008,1564,1621,1854,,
"Rilke, Rainer Maria",1875-1926,46897170,jn19990007038,1875,1926,1908,,
"Neborová, Hana",0-0,47060694,xx0050193,0,0,1979,,
"Čačalová, Libuše",1950-,47177029,xx0039833,1950,,0,,
"Rosůlek, Jan Václav",1894-1958,47518703,jk01102758,1894,1958,1923,,
"Eversz, Robert",0-0,47829441,xx0066778,0,0,2007,,
"Jílek, Jan",1933-2011,48253367,jk01051690,1933,2011,1966,,
"Šafhauser, Ivan",0-0,49071972,xx0068541,0,0,1983,,
"Patočka, Jan",1907-1977,49229907,jk01091914,1907,1977,1936,,
"Veis, Jaroslav",1946-,49637039,jk01141898,1946,,1976,,
"Hončík, Eduard",1914-1988,49697540,jk01041918,1914,1988,1959,,
"Grosman, Ladislav",1921-1981,49741669,jk01032726,1921,1981,1965,,
"Jilemnický, Peter",1901-1949,50020047,jk01051711,1901,1949,1921,,
"Hilská, Vlasta",1909-1968,50034902,jk01041061,1909,1968,1939,,
"Neff, Ondřej",1945-,5084664,jk01082907,1945,,1978,,
"Vejvoda, Jiří",1951-,50864693,jo2002107920,1951,,1987,,
"Martinek, Libor",1965-,51030624,mzk2002106085,1965,,2001,,
"Peychlová, Bohumíra",1935-,51194307,jk01092920,1935,,1964,,
"Chase, Věra",1970-,51323261,jn19990201025,1970,,1997,,
"Čapek, Jindra",1953-,5133978,jn19981002508,1953,,1991,,
"Dudák, Vladislav",1958-,51936831,jn19990209163,1958,,1994,,
"Janouch, Katerina",1964-,52024031,mzk2005286862,1964,,2005,,
"Neumann, Miroslav",1921-2009,52225504,jk01090069,1921,2009,1976,,
"Ginz, Petr",1928-1944,52820028,xx0032074,1928,1944,2007,,
"Groszová, Sylva",1926-1994,53014596,jk01032744,1926,1994,1961,,
"Volf, Pavel",0-0,53394797,kv2014821715,0,0,2004,,
"Slíva, Vít",1951-,5339744,jn19990209773,1951,,1984,,
"Hlávka, Miloš",1907-1945,53714100,jk01041268,1907,1945,1937,,
"Nádvorníková, Alena",1942-,54034298,jn99240000799,1942,,1966,,
"Dubrovskij, Konstantin Vladimirovič",1879-1943,54149415180689552526,js2017949725,1879,1943,1920,,
"Štejnar, Jaromír",1986-,54149912337206210344,hka2017956713,1986,,2017,,
"Gospodinov, Georgi",1968-,54360545,jo2003168162,1968,,2004,,
"Denk, Petr",1902-1955,54604926,jk01022207,1902,1955,1936,,
"Hořká, Ludmila",1892-1966,55092098,jk01042358,1892,1966,1943,,
"Bauerová, Anna",1929-,5534350,jk01011176,1929,,1978,,
"Kistlerová, Věra",1929-2006,55587687,jk01060216,1929,2006,1982,,
"Zídek, Karel",1928-2001,5651137,jk01152581,1928,2001,1977,,
"Voisine-Jechová, Hana",1927-,56620643,jn19981001550,1927,,1959,,
"Sláma, Jiří",1966-,57691572,mzk2005273206,1966,,2004,,
"Opasek, Anastáz",1913-1999,5806998,jk01091154,1913,1999,1992,,
"Rudčenková, Kateřina",1976-,58759293,jn20000402142,1976,,1999,,
"Zábranský, Adolf",1909-1981,59545548,jk01151856,1909,1981,1939,,
"Urban, Josef",1965-,59638029,xx0037995,1965,,1993,,
"Skála, Ivan",1922-1997,59885078,jk01111412,1922,1997,1946,,
"Moc, Stanislav",1945-,60026438,jk01081932,1945,,1999,,
"Bojar, Pavel",1919-1999,60078708,jk01012565,1919,1999,1942,,
"Železný, Ivo",1950-,60502894,jk01153088,1950,,1983,,
"Zhoř, Antonín",1896-1965,61102534,jk01152571,1896,1965,1930,,
"Cikán, Ondřej",1985-,6128432,jo2011634990,1985,,2020,,
"Heisler, Jindřich",1914-1953,61540042,jk01040527,1914,1953,1945,,
"Rejchrt, Miloš",1946-,61595680,jn19990216153,1946,,1997,,
"Knížák, Milan",1940-,61655780,jk01060827,1940,,1989,,
"Taufer, Jiří",1911-1986,62321237,jk01132099,1911,1986,1928,,
"Schneiderová, Dagmar Marie",1957-,62641030,mzk2002139619,1957,,2002,,
"Siebert, Oskar",1942-,62657302,ola2017938923,1942,,2016,,
"Dědič, Miroslav",1925-,63029679,xx0006688,1925,,1975,,
"Poledňáková, Marie",1941-,6345939,jk01100474,1941,,1984,,
"Hubač, Jiří",1929-2011,6384368,jk01043105,1929,2011,1965,,
"Chmelová, Elena",1920-1995,64003586,ola2002150689,1920,1995,1960,,
"Chvatík, Květoslav",1930-2012,64021459,jk01050435,1930,2012,1962,,
"Klaus, Václav",1941-,64070163,jn19990218045,1941,,1967,,
"Hrabě, Václav",1940-1965,64263031,jk01042592,1940,1965,1969,,
"Kopecký, Jan",1919-1992,64296804,jk01061662,1919,1992,1944,,
"Zmatlíková, Helena",1923-2005,64492033,jk01152754,1923,2005,1951,,
"Kočí, Marta",1945-,64562977,jo20000074150,1945,,0,,
"Nevrlý, Miloslav",1933-,64567862,jk01090140,1933,,1961,,
"Petříček, Miroslav",1951-,64698920,jn99240000872,1951,,1991,,
"Křížková, Marie Rút",1936-2020,64709622,jk01070205,1936,2020,1991,,
"Matouš, Kryštof",1930-2020,64850702,jx20050815009,1930,2020,1998,,
"Konečný, Jaromír",1956-,64922630,js20020923017,1956,,2008,,
"Formanová, Martina",1966-,64926803,xx0001020,1966,,2002,,
"Waczków, Józef",1933-2004,65317511,jn20010601658,1933,2004,0,,
"Burian, Karel Vladimír",1923-2000,667928,jk01020380,1923,2000,1948,,
"Klimeš, Jan",1980-,66801849,mzk2007417580,1980,,2015,,
"Cima, Anna",1991-,67153893733702292592,xx0226998,1991,,2018,,
"Spilka, Josef",1899-1986,68816836,jk01120678,1899,1986,1925,,
"Lešehrad, Emanuel",1877-1955,68922834,jk01071938,1877,1955,1898,,
"Havel, Jiří",1924-2016,68951541,jk01040225,1924,2016,1949,,
"Perry, Jaroslav",1956-,69146822291607381868,xx0204179,1956,,2015,,
"Stehlík, Ladislav",1908-1987,69341267,jk01121008,1908,1987,1930,,
"Vlasák, Jan",1965-,69864935,jn20031215032,1965,,2012,,
"Votýpka, Vladimír",1932-,70109575,jn20010309654,1932,,1995,,
"Šubert, František Adolf",1849-1915,70325512,jk01131606,1849,1915,1870,,
"Trnková, Klára",1949-,70337121,jo2008427188,1949,,2007,,
"Schulzová, Anežka",1868-1905,70349387,jk01111173,1868,1905,1896,,
"Hostomská, Anna",1907-1995,70507832,jk01042398,1907,1995,1955,,
"Fucimanová, Milena",1944-,7101108,jk01032097,1944,,1998,,
"Janda, Josef",1950-,7126254,jn19990009862,1950,,1980,,
"Hrdličková, Věna",1924-2016,71392391,jk01042762,1924,2016,1957,,
"Teige, Karel",1900-1951,71440231,jk01132144,1900,1951,1923,,
"Čada, Jaroslav",0-0,72415131,jx20051209018,0,0,1992,,
"Preisner, Rio",1925-2007,73893059,jk01101023,1925,2007,1968,,
"Šašek, Miroslav",1916-1980,73979757,jk01122538,1916,1980,1947,,
"Catalano, Alessandro",1970-,74029119,js20030317020,1970,,2008,,
"Holub, Josef",1926-2010,74092731,jn19990009839,1926,2010,1998,,
"Jelínek, Hanuš",1878-1944,74119393,jz3701033,1878,1944,1898,,
"Dušek, Václav",1944-,74261742,jk01023424,1944,,1973,,
"Adamíra, Jiří",1926-1993,74412179,jk01010102,1926,1993,1971,,
"Konůpek, Michael",1948-,7444399,jn20000620172,1948,,1996,,
"Léger, Louis",1843-1923,7470950,jo20000080640,1843,1923,1907,,
"Křička, Petr",1884-1949,74725966,jk01070074,1884,1949,1916,,
"Denková, Melita",1951-,74962034,jn20020716688,1951,,2002,,
"Kubašta, Vojtěch",1914-1992,75512487,jk01070261,1914,1992,1956,,
"Nápravník, Milan",1931-2017,7555911,jk01082697,1931,2017,1966,,
"Cílek, Václav",1955-,75786467,jo20000080776,1955,,1989,,
"Könner, Alfred",1921-2008,76317866,jx20051024004,1921,2008,1982,,
"Morava, Jiří",1932-2012,76336303,jk01082028,1932,2012,1991,,
"Slavík, Ivan",1920-2002,76392272,jk01111857,1920,2002,1947,,
"Horák, Jiří",1884-1975,76444874,jk01042072,1884,1975,1900,,
"Janáček, Leoš",1854-1928,76500434,jk01050745,1854,1928,1887,,
"Štochl, Sláva",1913-1990,76837286,jk01131447,1913,1990,1947,,
"Zlámaný, Svatopluk",1933-2004,76929616,jk01152736,1933,2004,1977,,
"Kopta, Josef",1894-1962,77122968,jk01061753,1894,1962,1920,,
"Prachatická, Markéta",1953-,77123146,jn19981002033,1953,,1986,,
"Kozák, Roman",1965-,77468167,jn20000401457,1965,,1995,,
"Hankó, Ludmilla",1932-,78318911,jx20071211004,1932,,0,,
"Čichoň, Petr",1969-,78431791,jn99240001700,1969,,1995,,
"Troska, J. M.",1881-1961,78666601,jk01140213,1881,1961,1919,,
"Foustka, Ivan",1928-1994,79520717,jk01031647,1928,1994,1961,,
"Osoha, Karel",1991-,8148389448110712118,osa2016936181,1991,,2017,,
"Pilous, Jiří",1958-,81492768,jo2009480579,1958,,2004,,
"Říčanová, Tereza",1974-,81625878,jn20020903057,1974,,2002,,
"Cita, Jaroslav",1926-2013,83652383,hka0078319,1926,2013,1960,,
"Brabec, Adolf",1875-1928,83673562,jk01012877,1875,1928,1894,,
"Černý, Karel",1912-1996,83687589,jk01021588,1912,1996,1938,,
"Dragoni Křenovský, Jakub",1808-1871,83696656,jk01022946,1808,1871,1869,,
"Fabián, Karel",1912-1983,83704018,jk01030624,1912,1983,1937,,
"Horníková, Anna",1897-1978,83738079,jk01042245,1897,1978,1954,,
"Horská, Jiřina",1876-1960,83738235,jk01042264,1876,1960,1900,,
"Jaeger, Jiří",0-0,83750058,jk01050607,0,0,1963,,
"Janovský, Jaroslav",1911-1962,83753693,jk01051113,1911,1962,1941,,
"Jarošová, Inka",-1972,83754915,jk01051277,0,1972,1993,,
"Kapek, Miroslav",1926-1997,83765775,jk01052889,1926,1997,1972,,
"Kavalírová, Antonie",1804-1879,83768556,jk01053284,1804,1879,1929,,
"Lacigová, Marie",1928-2020,83803500,jk01071348,1928,2020,1983,,
"Mareš, Jan",1914-1986,83818472,jk01080181,1914,1986,1937,,
"Mareš, Jaroslav",1937-,83818515,jk01080189,1937,,1975,,
"Možný, Jan",1822-1863,83832671,jk01082217,1822,1863,1852,,
"Novák, Jiří Zdeněk",1912-2001,83842592,jk01090423,1912,2001,1938,,
"Nový, Jan",1924-,83845143,jk01090805,1924,,1950,,
"Pechar, Ivo",1938-,83855809,jk01092322,1938,,1980,,
"Radil, Tomáš",1930-,83876548,jk01101889,1930,,1963,,
"Šimková, Dagmar",1929-1995,83921127,jk01130076,1929,1995,1991,,
"Špaček, Václav",1856-1939,83926445,jk01130824,1856,1939,1880,,
"Špetová, Marie",1912-1966,83926864,jk01130883,1912,1966,1950,,
"Tomek, Ferdinand",1860-1940,83938995,jk01132698,1860,1940,1891,,
"Vetiška, Rudolf",1895-1966,83955247,jk01142240,1895,1966,1953,,
"Vik, Jan",1901-1975,83955898,jk01142336,1901,1975,1939,,
"Zvelebil, Kamil Veith",1927-2009,83976985,jk01152883,1927,2009,1957,,
"Žantovský, Michael",1949-,83978108,jk01153044,1949,,1990,,
"Dagan, Avigdor",1912-2006,83981379,jn19981000553,1912,2006,0,,
"Halama, Theofil",1932-2017,83996933,jn19990010066,1932,2017,1998,,
"Gerzanic-Hons, Hana",1928-,84008042,jn20000400770,1928,,1996,,
"Pacnerová, Jana",1955-,84049930,jn20000810168,1955,,2013,,
"Tetourová, Marie",0-0,84053830,jn20001005512,0,0,1988,,
"Bozděchová, Ivana",1960-,84053946,jn20001005525,1960,,1994,,
"Bícová, Ráchel",0-0,84062537,jn20001227371,0,0,2000,,
"Munková, Alena",1926-2008,84066436,jn20010309163,1926,2008,1991,,
"Dudek, Adolf",1964-,84070032,jn20010309777,1964,,1992,,
"Jelínková, Hanka",1961-,84071524,jn20010310137,1961,,2001,,
"Hrádok, Pavel",1907-1953,84081829,jn20011210002,1907,1953,0,,
"Císařovský, Michal",0-0,84116717,jo20000080330,0,0,1982,,
"Jílek, Zdeněk",1936-2004,84121292,jo20000082873,1936,2004,1960,,
"Janáková, Daniela",1952-,84127477,jo20010087067,1952,,1992,,
"Souveier, Joseph de",1763-1853,84146510,jo2003163175,1763,1853,1992,,
"Oda, Milena",1975-,84171773,jo2005273670,1975,,2011,,
"Vrak, Jan",1967-,84177241,jo2006321116,1967,,1990,,
"Rudyard, Edwin",1895-1967,84182999,jo2006333920,1895,1967,1937,,
"Noha, Jiří",1935-,84206614,jo2009480538,1935,,1987,,
"Olša, Jaroslav",1938-,84231363,js20040119006,1938,,2003,,
"Bártů, Jitka",1974-,84232377,js20040607003,1974,,2004,,
"Hadj Moussa, Iva",1979-,84263101,js20070622001,1979,,2009,,
"Škodová, Helena",1955-,84296617,jx20040618039,1955,,1976,,
"Kaňová, Ilona",0-0,84309435,jx20041115015,0,0,1992,,
"Loket, Jiří",0-0,84309777,jx20041118025,0,0,1992,,
"Sedláková, Majka",0-0,84355019,jx20060301021,0,0,1992,,
"Květenský, Vítězslav",0-0,84366929,jx20061206005,0,0,1989,,
"Javor, Vladimír",0-0,84380205,jx20070802005,0,0,1992,,
"Horáková, Pavla",1974-,84382393,jx20070904014,1974,,2010,,
"Kopl, Petr",1976-,84409748,jx20080407021,1976,,2010,,
"Hálová, Helena",0-0,84421555,jx20080813012,0,0,1993,,
"Kudrlová, Jaroslava",0-0,84421572,jx20080813014,0,0,1993,,
"Janková, Helena",0-0,84424480,jx20080901008,0,0,1992,,
"Jarchovská, Vlasta",0-0,84424498,jx20080901009,0,0,1991,,
"Roudenská, Hana",0-0,84424548,jx20080901014,0,0,1994,,
"Tomanová, Nasťa",0-0,84424569,jx20080901016,0,0,1993,,
"Veselá, Magda",0-0,84424595,jx20080901019,0,0,1993,,
"Řezníčková, Marie",0-0,84424609,jx20080901021,0,0,1992,,
"Gajdošíková, Věra",0-0,84544851,mzk2003181335,0,0,1988,,
"Štulcová, Renata",1969-,84555015,mzk2003194949,1969,,2003,,
"Mlynářová, Marcela",1948-,84572726,mzk2004221752,1948,,1999,,
"Černý, Miroslav",1977-,84581442,mzk2004236886,1977,,2005,,
"Stará, Ester",1969-,84597725,mzk2004261153,1969,,2002,,
"Rowinská-Kotková, Věra",0-0,84634151,mzk2005299258,0,0,1992,,
"Novotná, Anna",1959-,84644389,mzk2005312651,1959,,2008,,
"Skopec, František",1953-,84654422,mzk2006322879,1953,,2007,,
"Panchártková, Lada",0-0,84655336,mzk2006322984,0,0,2005,,
"Pospíšilová, Zuzana",1975-,84660684,mzk2006331486,1975,,2005,,
"Kuzmová, Alena",1956-,84662749,mzk2006331732,1956,,2006,,
"Kabátová, Veronika",1986-,84664690,mzk2006337146,1986,,2006,,
"Neuberger, Karel",1961-,84680793,mzk2006355949,1961,,2006,,
"Kimla, Jiří",1947-,84683630,mzk2006363450,1947,,2002,,
Vhrsti,1975-,84688060,mzk2006368217,1975,,2007,,
"Cusumano, Inéz",1968-,84692107,mzk2007377407,1968,,2006,,
"Pown, Ian K.",0-0,84692111,mzk2007377408,0,0,2006,,
"Skálová, Pavla",0-0,84702478,mzk2007386217,0,0,2007,,
"Tůmová, Magdaléna",1950-,84707616,mzk2007394792,1950,,2007,,
"Schejbalová, Alena",0-0,84755001,mzk2008464036,0,0,1997,,
"Loderová, Ludmila",0-0,84769587,mzk2008486560,0,0,2008,,
"Janyšková, Anna",1981-,84775257,mzk2009492155,1981,,0,,
"Šindelářová, Olga",1957-,84785081,mzk2009502588,1957,,2008,,
"Javorková, Veronika",0-0,84997540,ola2003198108,0,0,0,,
"Halama, Zdeněk",1948-,85140546,pna2008467044,1948,,2009,,
"Stoličný, Peter",1945-,85314960,xx0001345,1945,,1997,,
"Ondrušková, Ivona",0-0,85323740,xx0002925,0,0,1998,,
"Roučka, Adam",1980-,85371890,xx0010955,1980,,1999,,
"Kašák, Jindřich",0-0,85382458,xx0012843,0,0,1990,,
"Lachoutová Ričlová, Irena",1982-,85400568,xx0015782,1982,,2003,,
"Olahová, Erika",1957-,85440922,xx0022174,1957,,2004,,
"Heller, Jiří",1957-,85469532,xx0027260,1957,,1992,,
"Kuhar Daňhelová, Lenka",1973-,85472061,xx0027684,1973,,2004,,
"Morkes, Petr",1973-,85476059,xx0028602,1973,,2009,,
"Langer, Jiří",1979-,85484556,xx0030059,1979,,2006,,
"Skálová, Alžběta",1982-,85509465,xx0033835,1982,,2009,,
"Bubakoff, Max",1971-,85540275,xx0038363,1971,,2005,,
"Štefančík, Michal",1946-,85583430,xx0044729,1946,,2006,,
"Quis, Josef",1964-,85588310,xx0045711,1964,,1991,,
"Beneš, Arnošt",0-0,85644911,xx0053478,0,0,1986,,
"Křišťanová, Dita",1980-,85741639,xx0067718,1980,,2011,,
"Semotamová, Tereza",1983-,85745146,xx0068269,1983,,2013,,
"Hanišová, Viktorie",1980-,85748698,xx0068787,1980,,2015,,
"Klempera, Pavel",1958-,85753129,xx0069666,1958,,2011,,
"Chludilová, Kristýna",1906-1981,85815849,xx0078366,1906,1981,0,,
"French, Alfred",1917-1997,87697716,jn19990216050,1917,1997,0,,
"Kovályová, Heda",1919-2010,88049891,jk01062415,1919,2010,1992,,
"Levine, Karen",1955-,88082357,xx0012650,1955,,2003,,
"Provazníková, Věra",1947-,8855583,jk01101403,1947,,1969,,
"Buddeus, Ondřej",1984-,88561011,jo2009330629,1984,,2011,,
"Hájek, Petr P.",1951-,8929677,jk01033079,1951,,1975,,
"Cibula, Václav",1925-2009,89808540,jk01020636,1925,2009,1955,,
"Kavková, Marie",1921-2000,90027907,jk01053327,1921,2000,1965,,
"Baránková, Vlasta",1943-,91836340,jn19981000214,1943,,2001,,
"Maňásek, Luděk",1929-2003,92117284,jk01080010,1929,2003,1979,,
"Sviták, Ivan",1925-1994,92685980,jk01121907,1925,1994,1950,,
"Zapletal, Zdeněk",1951-,92750467,jk01152134,1951,,1980,,
"Kafka, František",1909-1991,93360343,jk01052503,1909,1991,1946,,
"Hodek, Břetislav",1924-2007,94612264,jk01041453,1924,2007,1947,,
"Becher, Peter",1952-,94644478,jn19990000621,1952,,2019,,
"Ní Dhomhnaill, Nuala",1952-,94779115,kup20020000070241,1952,,0,,
"Papoušek, Dušan",1930-2010,94851869,jk01091725,1930,2010,1961,,
"Smetana, Bedřich",1824-1884,95207407,jk01120043,1824,1884,1896,,
"Pacovská, Květa",1928-,96707922,jk01091455,1928,,1984,,
"Hachenburg, Hanuš",1929-1944,96947456,xx0101392,1929,1944,2010,,
"Fantlová, Zdenka",1922-,97805363,jn19990209177,1922,,1996,,
"Vejvoda, Jaroslav",1940-,98279065,jk01141939,1940,,1990,,
"Wagnerová, Alena",1936-,98287423,jk01151341,1936,,1968,,
"Weislitzová-Lustigová, Věra",1927-2009,98366732,ola200208507,1927,2009,1994,,
"Hrdlička, Zdeněk",1919-1999,9847942,jk01042759,1919,1999,1941,,
